Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-08-19	Meyve	7279.47	2,1720	25,33
2014-08-19	Sebze	7705.25	2,1720	25,33
2014-08-20	Meyve	6982.93	2,1671	26,00
2014-08-20	Sebze	7330.94	2,1671	26,00
2014-08-21	Meyve	7106.35	2,1719	26,17
2014-08-21	Sebze	7893.96	2,1719	26,17
2014-08-22	Meyve	6920.6	2,1803	27,17
2014-08-22	Sebze	7329.97	2,1803	27,17
2014-08-23	Meyve	11004.44	2,1806	27,39
2014-08-23	Sebze	10392.55	2,1806	27,39
2014-08-24	Meyve	10290.94	2,1806	26,61
2014-08-24	Sebze	11006.07	2,1806	26,61
2014-08-25	Meyve	8676.73	2,1806	25,83
2014-08-25	Sebze	9759.93	2,1806	25,83
2014-08-26	Meyve	6915.87	2,1815	25,94
2014-08-26	Sebze	7906.57	2,1815	25,94
2014-08-27	Meyve	6891.03	2,1726	26,06
2014-08-27	Sebze	6915.1	2,1726	26,06
2014-08-28	Meyve	7254.43	2,1620	25,94
2014-08-28	Sebze	7439.69	2,1620	25,94
2014-08-29	Meyve	7985.32	2,1658	24,72
2014-08-29	Sebze	8280.05	2,1658	24,72
2014-08-30	Meyve	9999.84	2,1623	24,44
2014-08-30	Sebze	10759.55	2,1623	24,44
2014-08-31	Meyve	10078.39	2,1623	25,00
2014-08-31	Sebze	11645.55	2,1623	25,00
2014-09-01	Meyve	6554.68	2,1796	8,17
2014-09-01	Sebze	9155.74	2,1796	8,17
2014-09-02	Meyve	13649.52	2,2209	12,28
2014-09-02	Sebze	17138.61	2,2209	12,28
2014-09-03	Meyve	15322.64	2,1912	6,72
2014-09-03	Sebze	18380.97	2,1912	6,72
2014-09-04	Meyve	7813.33	2,0978	13,11
2014-09-04	Sebze	10136.43	2,0978	13,11
2014-09-05	Meyve	10968.88	2,0784	13,83
2014-09-05	Sebze	10939.17	2,0784	13,83
2014-09-06	Meyve	12296.93	2,0934	22,17
2014-09-06	Sebze	7912.1	2,0934	22,17
2014-09-07	Meyve	9309.21	2,1290	26,22
2014-09-07	Sebze	7218.41	2,1290	26,22
2014-09-08	Meyve	11454.43	2,1722	24,61
2014-09-08	Sebze	11212.29	2,1722	24,61
2014-09-09	Meyve	6938.54	2,1666	23,39
2014-09-09	Sebze	8314.28	2,1666	23,39
2014-09-10	Meyve	8225.01	2,2714	18,22
2014-09-10	Sebze	10904.53	2,2714	18,22
2014-09-11	Meyve	12970.2	2,2691	15,83
2014-09-11	Sebze	13704.53	2,2691	15,83
2014-09-12	Meyve	7861.13	2,2342	11,67
2014-09-12	Sebze	9140.53	2,2342	11,67
2014-09-13	Meyve	10834.41	2,2054	24,33
2014-09-13	Sebze	11981.89	2,2054	24,33
2014-09-14	Meyve	11735.82	2,2054	24,06
2014-09-14	Sebze	13240.95	2,2054	24,06
2014-09-15	Meyve	9136.58	2,2054	23,72
2014-09-15	Sebze	10740.25	2,2054	23,72
2014-09-16	Meyve	7732.43	2,2184	23,61
2014-09-16	Sebze	8844.63	2,2184	23,61
2014-09-17	Meyve	6612.68	2,2132	21,94
2014-09-17	Sebze	8141.95	2,2132	21,94
2014-09-18	Meyve	6932.32	2,2098	18,78
2014-09-18	Sebze	8570.3	2,2098	18,78
2014-09-19	Meyve	7075.95	2,2098	20,28
2014-09-19	Sebze	8675.14	2,2098	20,28
2014-09-20	Meyve	9157.23	2,2263	20,17
2014-09-20	Sebze	11143.22	2,2263	20,17
2014-09-21	Meyve	10635.35	2,2272	20,56
2014-09-21	Sebze	11803.87	2,2272	20,56
2014-09-22	Meyve	7993.9	2,2272	21,83
2014-09-22	Sebze	10731.2	2,2272	21,83
2014-09-23	Meyve	6987.98	2,2272	20,17
